Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,4,70,11200,Pave,3,Reg,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,4,4,3,0,TA,TA,CBlock,4,4,4,5,906,6,0,134,1040,GasA,Ex,Y,5,1040,0,0,1040,1,0,1,0,3,1,4,5,6,0,6,6,1965,3,1,384,4,4,Y,0,0,0,0,0,0,4,5,5,0,2,2008,1,Normal,129500
12,60,4,85,11924,Pave,3,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,6,3,4,286,Ex,TA,PConc,1,4,4,3,998,6,0,177,1175,GasA,Ex,Y,5,1182,1142,0,2324,1,0,3,0,4,1,1,11,6,2,3,4,2005,1,3,736,4,4,Y,147,21,0,0,0,0,4,5,5,0,7,2006,2,Partial,345000
13,20,4,,12968,Pave,3,IR2,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,4,5,3,0,TA,TA,CBlock,4,4,4,1,737,6,0,175,912,GasA,TA,Y,5,912,0,0,912,1,0,1,0,2,1,4,4,6,0,6,6,1962,3,1,352,4,4,Y,140,0,0,0,176,0,4,5,5,0,9,2008,1,Normal,144000
14,20,4,91,10652,Pave,3,IR1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,1,1,4,306,Gd,TA,PConc,3,4,2,6,0,6,0,1494,1494,GasA,Ex,Y,5,1494,0,0,1494,0,0,2,0,3,1,3,7,6,1,3,2,2006,2,3,840,4,4,Y,160,33,0,0,0,0,4,5,5,0,8,2007,2,Partial,279500
15,20,4,,10920,Pave,3,IR1,Lvl,1,Corner,Gtl,mes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,2,2,2,212,TA,TA,CBlock,4,4,4,2,733,6,0,520,1253,GasA,TA,Y,5,1253,0,0,1253,1,0,1,1,2,1,4,5,6,1,2,2,1960,2,1,352,4,4,Y,0,213,176,0,0,0,4,2,5,0,5,2008,1,Normal,157000
16,45,5,51,6120,Pave,3,Reg,Lvl,1,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,3,6,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,832,832,GasA,Ex,Y,1,854,0,0,854,0,0,1,0,2,1,4,5,6,0,6,6,1991,3,2,576,4,4,Y,48,112,0,0,0,0,4,1,5,0,7,2007,1,Normal,132000
17,20,4,,11241,Pave,3,IR1,Lvl,1,CulDSac,Gtl,mes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,3,6,2,180,TA,TA,CBlock,4,4,4,1,578,6,0,426,1004,GasA,Ex,Y,5,1004,0,0,1004,1,0,1,0,2,1,4,5,6,1,4,2,1970,1,2,480,4,4,Y,0,0,0,0,0,0,4,5,1,700,3,2010,1,Normal,149000
18,90,4,72,10791,Pave,3,Reg,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,2,2,3,0,TA,TA,Slab,5,5,5,7,0,7,0,0,0,GasA,TA,Y,5,1296,0,0,1296,0,0,2,0,2,2,4,6,6,0,6,5,1967,3,2,516,4,4,Y,0,0,0,0,0,0,4,5,1,500,10,2006,1,Normal,90000
19,20,4,66,13695,Pave,3,Reg,Lvl,1,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,1,1,3,0,TA,TA,PConc,4,4,4,3,646,6,0,468,1114,GasA,Ex,Y,5,1114,0,0,1114,1,0,1,1,3,1,3,6,6,0,6,6,2004,3,2,576,4,4,Y,0,102,0,0,0,0,4,5,5,0,6,2008,1,Normal,159000
20,20,4,70,7560,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,5,5,3,0,TA,TA,CBlock,4,4,4,4,504,6,0,525,1029,GasA,TA,Y,5,1339,0,0,1339,0,0,1,0,3,1,4,6,3,0,6,2,1958,3,1,294,4,4,Y,0,0,0,0,0,0,4,3,5,0,5,2009,3,Abnorml,139000
21,60,4,101,14215,Pave,3,IR1,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,1,1,2,380,Gd,TA,PConc,1,4,2,6,0,6,0,1158,1158,GasA,Ex,Y,5,1158,1218,0,2376,0,0,3,1,4,1,3,9,6,1,3,4,2005,2,3,853,4,4,Y,240,154,0,0,0,0,4,5,5,0,11,2006,2,Partial,325300
22,45,5,57,7449,Pave,1,Reg,Bnk,1,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,3,6,3,0,TA,TA,PConc,4,4,4,6,0,6,0,637,637,GasA,Ex,Y,2,1108,0,0,1108,0,0,1,0,3,1,3,6,6,1,3,2,1930,3,1,280,4,4,N,0,0,205,0,0,0,4,1,5,0,6,2007,1,Normal,139400
23,20,4,75,9742,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,1,1,2,281,Gd,TA,PConc,3,4,4,6,0,6,0,1777,1777,GasA,Ex,Y,5,1795,0,0,1795,0,0,2,0,3,1,3,7,6,1,3,2,2002,2,2,534,4,4,Y,171,159,0,0,0,0,4,5,5,0,9,2008,1,Normal,230000
24,120,5,44,4224,Pave,3,Reg,Lvl,1,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,7,,3,0,TA,TA,PConc,3,4,4,3,840,6,0,200,1040,GasA,TA,Y,5,1060,0,0,1060,1,0,1,0,3,1,4,6,6,1,4,2,1976,3,2,572,4,4,Y,100,110,0,0,0,0,4,5,5,0,6,2007,1,Normal,129900
25,20,4,,8246,Pave,3,IR1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,8,5,3,0,TA,Gd,CBlock,4,4,3,5,188,1,668,204,1060,GasA,Ex,Y,5,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,4,2,1968,3,1,270,4,4,Y,406,90,0,0,0,0,4,3,5,0,5,2010,1,Normal,154000
26,20,4,110,14230,Pave,3,Reg,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,1,1,4,640,Gd,TA,PConc,3,4,4,6,0,6,0,1566,1566,GasA,Ex,Y,5,1600,0,0,1600,0,0,2,0,3,1,3,7,6,1,3,2,2007,2,3,890,4,4,Y,0,56,0,0,0,0,4,5,5,0,7,2009,1,Normal,256300
27,20,4,60,7200,Pave,3,Reg,Lvl,1,Corner,Gtl,mes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,3,6,3,0,TA,TA,CBlock,4,4,3,2,234,5,486,180,900,GasA,TA,Y,5,900,0,0,900,0,1,1,0,3,1,3,5,6,0,6,6,2005,3,2,576,4,4,Y,222,32,0,0,0,0,4,5,5,0,5,2010,1,Normal,134800
28,20,4,98,11478,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,1,1,4,200,Gd,TA,PConc,1,4,4,3,1218,6,0,486,1704,GasA,Ex,Y,5,1704,0,0,1704,1,0,2,0,3,1,3,7,6,1,3,2,2008,2,3,772,4,4,Y,0,50,0,0,0,0,4,5,5,0,5,2010,1,Normal,306000
29,20,4,47,16321,Pave,3,IR1,Lvl,1,CulDSac,Gtl,mes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,2,2,3,0,TA,TA,CBlock,4,4,1,2,1277,6,0,207,1484,GasA,TA,Y,5,1600,0,0,1600,1,0,1,0,2,1,4,6,6,2,3,2,1957,2,1,319,4,4,Y,288,258,0,0,0,0,4,5,5,0,12,2006,1,Normal,207500
30,30,5,60,6324,Pave,3,IR1,Lvl,1,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,2,2,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,520,520,GasA,Fa,N,5,520,0,0,520,0,0,1,0,1,1,2,4,6,0,6,6,1920,3,1,240,2,4,Y,49,0,87,0,0,0,4,5,5,0,5,2008,1,Normal,68500
31,70,1,50,8500,Pave,2,Reg,Lvl,1,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,5,8,3,0,TA,Fa,BrkTil,4,4,4,6,0,6,0,649,649,GasA,TA,N,5,649,668,0,1317,0,0,1,0,3,1,4,6,6,0,6,6,1920,3,1,250,4,2,N,0,54,172,0,0,0,4,3,5,0,7,2008,1,Normal,40000
32,20,4,,8544,Pave,3,IR1,Lvl,1,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,4,4,3,0,TA,TA,CBlock,4,4,4,6,0,6,0,1228,1228,GasA,Gd,Y,5,1228,0,0,1228,0,0,1,1,3,1,3,6,6,0,6,2,1966,3,1,271,4,4,Y,0,65,0,0,0,0,4,3,5,0,6,2008,1,Normal,149350
33,20,4,85,11049,Pave,3,Reg,Lvl,1,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,1,1,3,0,Gd,TA,PConc,1,4,2,6,0,6,0,1234,1234,GasA,Ex,Y,5,1234,0,0,1234,0,0,2,0,3,1,3,7,6,0,6,2,2007,2,2,484,4,4,Y,0,30,0,0,0,0,4,5,5,0,1,2008,1,Normal,179900
34,20,4,70,10552,Pave,3,IR1,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,5,8,3,0,TA,TA,CBlock,4,4,4,5,1018,6,0,380,1398,GasA,Gd,Y,5,1700,0,0,1700,0,1,1,1,4,1,3,6,6,1,3,2,1959,2,2,447,4,4,Y,0,38,0,0,0,0,4,5,5,0,4,2010,1,Normal,165500
35,120,4,60,7313,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,2,2,2,246,Ex,TA,PConc,1,4,4,3,1153,6,0,408,1561,GasA,Ex,Y,5,1561,0,0,1561,1,0,2,0,2,1,1,6,6,1,3,2,2005,1,2,556,4,4,Y,203,47,0,0,0,0,4,5,5,0,8,2007,1,Normal,277500
36,60,4,108,13418,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,1,1,4,132,Gd,TA,PConc,1,4,2,6,0,6,0,1117,1117,GasA,Ex,Y,5,1132,1320,0,2452,0,0,3,1,4,1,3,9,6,1,3,4,2004,1,3,691,4,4,Y,113,32,0,0,0,0,4,5,5,0,9,2006,1,Normal,309000
37,20,4,112,10859,Pave,3,Reg,Lvl,1,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,1,1,3,0,TA,TA,PConc,3,4,4,6,0,6,0,1097,1097,GasA,Ex,Y,5,1097,0,0,1097,0,0,1,1,3,1,4,6,6,0,6,2,1995,3,2,672,4,4,Y,392,64,0,0,0,0,4,5,5,0,6,2009,1,Normal,145000
38,20,4,74,8532,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,3,6,2,650,TA,TA,CBlock,4,4,4,5,1213,6,0,84,1297,GasA,Gd,Y,5,1297,0,0,1297,0,1,1,0,3,1,4,5,6,1,4,2,1954,1,2,498,4,4,Y,0,0,0,0,0,0,4,5,5,0,10,2009,1,Normal,153000
39,20,4,68,7922,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,1,1,3,0,TA,Gd,CBlock,4,4,4,3,731,6,0,326,1057,GasA,TA,Y,5,1057,0,0,1057,1,0,1,0,3,1,3,5,6,0,6,6,1953,3,1,246,4,4,Y,0,52,0,0,0,0,4,5,5,0,1,2010,1,Abnorml,109000
40,90,4,65,6040,Pave,3,Reg,Lvl,1,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,9,5,3,0,TA,TA,PConc,5,5,5,7,0,7,0,0,0,GasA,TA,N,3,1152,0,0,1152,0,0,2,0,2,2,2,6,6,0,6,7,,4,0,0,6,6,N,0,0,0,0,0,0,4,5,5,0,6,2008,1,AdjLand,82000
41,20,4,84,8658,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,3,6,2,101,TA,TA,CBlock,4,4,4,5,643,6,0,445,1088,GasA,Ex,Y,5,1324,0,0,1324,0,0,2,0,3,1,4,6,6,1,4,2,1965,2,2,440,4,4,Y,0,138,0,0,0,0,4,2,5,0,12,2006,1,Abnorml,160000
42,20,4,115,16905,Pave,3,Reg,Lvl,1,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,1,1,3,0,TA,Gd,CBlock,4,4,1,2,967,6,0,383,1350,GasA,Gd,Y,5,1328,0,0,1328,0,1,1,1,2,1,4,5,6,2,3,2,1959,2,1,308,4,4,P,0,104,0,0,0,0,4,5,5,0,7,2007,1,Normal,170000
43,85,4,,9180,Pave,3,IR1,Lvl,1,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,4,4,3,0,TA,TA,CBlock,3,4,2,1,747,4,93,0,840,GasA,Gd,Y,5,884,0,0,884,1,0,1,0,2,1,3,5,6,0,6,2,1983,2,2,504,4,3,Y,240,0,0,0,0,0,4,3,5,0,12,2007,1,Normal,144000
44,20,4,,9200,Pave,3,IR1,Lvl,1,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,1,1,3,0,TA,TA,CBlock,3,4,2,4,280,2,491,167,938,GasA,TA,Y,5,938,0,0,938,1,0,1,0,3,1,4,5,6,0,6,6,1977,3,1,308,4,4,Y,145,0,0,0,0,0,4,3,5,0,7,2008,1,Normal,130250
45,20,4,70,7945,Pave,3,Reg,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,5,6,3,0,TA,TA,CBlock,4,4,4,1,179,2,506,465,1150,GasA,Ex,Y,1,1150,0,0,1150,1,0,1,0,3,1,4,6,6,0,6,2,1959,2,1,300,4,4,Y,0,0,0,0,0,0,4,5,5,0,5,2006,1,Normal,141000
46,120,4,61,7658,Pave,3,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,2,2,2,412,Ex,TA,PConc,1,4,4,3,456,6,0,1296,1752,GasA,Ex,Y,5,1752,0,0,1752,1,0,2,0,2,1,1,6,6,1,3,2,2005,2,2,576,4,4,Y,196,82,0,0,0,0,4,5,5,0,2,2010,1,Normal,319900
47,50,4,48,12822,Pave,3,IR1,Lvl,1,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,1,1,3,0,Gd,TA,PConc,1,4,4,3,1351,6,0,83,1434,GasA,Ex,Y,5,1518,631,0,2149,1,0,1,1,1,1,3,6,6,1,1,2,2003,2,2,670,4,4,Y,168,43,0,0,198,0,4,5,5,0,8,2009,1,Abnorml,239686
48,20,2,84,11096,Pave,3,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,1,1,3,0,Gd,TA,PConc,3,4,2,3,24,6,0,1632,1656,GasA,Ex,Y,5,1656,0,0,1656,0,0,2,0,3,1,3,7,6,0,6,2,2006,2,3,826,4,4,Y,0,146,0,0,0,0,4,5,5,0,7,2007,1,Normal,249700
49,190,5,33,4456,Pave,3,Reg,Lvl,1,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,2,2,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,736,736,GasA,Gd,Y,5,736,716,0,1452,0,0,2,0,2,3,4,8,6,0,6,7,,4,0,0,6,6,N,0,0,102,0,0,0,4,5,5,0,6,2009,2,Partial,113000
50,20,4,66,7742,Pave,3,Reg,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,4,4,3,0,TA,TA,CBlock,4,4,4,2,763,6,0,192,955,GasA,Ex,Y,5,955,0,0,955,1,0,1,0,3,1,4,6,6,0,6,2,1966,3,1,386,4,4,Y,0,0,0,0,0,0,4,3,5,0,1,2007,1,Normal,127000
51,60,4,,13869,Pave,3,IR2,Lvl,1,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,1,1,3,0,TA,TA,PConc,3,4,2,3,182,6,0,612,794,GasA,Gd,Y,5,794,676,0,1470,0,1,2,0,3,1,4,6,6,0,6,2,1997,1,2,388,4,4,Y,0,75,0,0,0,0,4,5,5,0,7,2007,1,Normal,177000
52,50,5,52,6240,Pave,3,Reg,Lvl,1,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,3,6,3,0,TA,TA,PConc,4,4,4,6,0,6,0,816,816,GasA,TA,Y,5,816,0,360,1176,0,0,1,0,3,1,4,6,6,1,3,6,1985,3,2,528,4,4,Y,112,0,0,0,0,0,4,3,1,400,9,2006,1,Normal,114500
53,90,5,110,8472,Grvl,3,IR2,Bnk,1,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,3,6,3,0,Fa,TA,CBlock,3,4,1,4,104,3,712,0,816,GasA,TA,N,5,816,0,0,816,1,0,1,0,2,1,4,5,6,0,6,5,1963,3,2,516,4,4,Y,106,0,0,0,0,0,4,5,5,0,5,2010,1,Normal,110000
54,20,4,68,50271,Pave,3,IR1,Low,1,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,6,3,3,0,Gd,TA,CBlock,1,4,1,3,1810,6,0,32,1842,GasA,Gd,Y,5,1842,0,0,1842,2,0,0,1,0,1,3,5,6,1,3,2,1981,1,3,894,4,4,Y,857,72,0,0,0,0,4,5,5,0,11,2006,1,Normal,385000
55,80,4,60,7134,Pave,3,Reg,Bnk,1,Inside,Mod,mes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,2,2,3,0,TA,TA,CBlock,4,4,4,1,384,6,0,0,384,GasA,TA,Y,5,1360,0,0,1360,0,0,1,0,3,1,4,6,3,1,4,6,1962,3,2,572,4,4,Y,0,50,0,0,0,0,4,3,5,0,2,2007,1,Normal,130000
56,20,4,100,10175,Pave,3,IR1,Lvl,1,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,4,5,2,272,TA,TA,CBlock,4,4,4,2,490,6,0,935,1425,GasA,Gd,Y,5,1425,0,0,1425,0,0,2,0,3,1,4,7,6,1,3,2,1964,2,2,576,4,4,Y,0,0,0,407,0,0,4,5,5,0,7,2008,1,Normal,180500
57,160,2,24,2645,Pave,2,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,2,2,2,456,Gd,TA,PConc,3,4,4,3,649,6,0,321,970,GasA,Ex,Y,5,983,756,0,1739,1,0,2,1,3,1,3,7,6,0,6,2,1999,1,2,480,4,4,Y,115,0,0,0,0,0,4,5,5,0,8,2009,1,Abnorml,172500
58,60,4,89,11645,Pave,3,IR1,Lvl,1,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,1,1,3,0,Gd,TA,PConc,3,4,4,6,0,6,0,860,860,GasA,Ex,Y,5,860,860,0,1720,0,0,2,1,3,1,3,7,6,0,6,2,2004,2,2,565,4,4,Y,0,70,0,0,0,0,4,5,5,0,8,2006,1,Normal,196500
59,60,4,66,13682,Pave,3,IR2,HLS,1,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,1,1,2,1031,Ex,TA,PConc,1,4,1,6,0,6,0,1410,1410,GasA,Ex,Y,5,1426,1519,0,2945,0,0,3,1,3,1,3,10,6,1,3,4,2006,1,3,641,4,4,Y,192,0,37,0,0,0,4,5,5,0,10,2006,2,Partial,438780
60,20,4,60,7200,Pave,3,Reg,Bnk,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,4,4,3,0,TA,TA,CBlock,4,4,2,1,632,6,0,148,780,GasA,Ex,Y,5,780,0,0,780,0,0,1,0,2,1,4,4,6,0,6,6,1973,3,1,352,4,4,Y,196,0,0,0,0,0,4,3,5,0,1,2008,1,Normal,124900
